slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed
maximum-score-from-performing-multiplication-operations,Hard,59,59,92.4013,SUCCESS,83.5866,Accepted,TRUE
find-subarray-with-bitwise-or-closest-to-k,Hard,814,814,92.647,SUCCESS,61.7646,Accepted,TRUE
maximum-score-of-a-node-sequence,Hard,75,75,92.9691,SUCCESS,34.3757,Accepted,TRUE
rearrange-array-to-maximize-prefix-score,Medium,1071,1071,93.0304,SUCCESS,59.394,Accepted,TRUE
find-the-number-of-good-pairs-i,Easy,783,783,93.1538,SUCCESS,8.9787,Accepted,TRUE
prime-pairs-with-target-sum,Medium,554,554,93.2154,SUCCESS,6.281,Accepted,TRUE
count-number-of-possible-root-nodes,Hard,51,51,93.243,SUCCESS,93.243,Accepted,TRUE
minimum-xor-sum-of-two-arrays,Hard,64,64,93.3332,SUCCESS,95,Accepted,TRUE
checking-existence-of-edge-length-limited-paths,Hard,24,24,93.478,SUCCESS,36.9562,Accepted,TRUE
continuous-subarrays,Medium,2139,2139,93.5859,SUCCESS,88.7434,Accepted,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-i,Medium,625,625,93.6168,SUCCESS,78.2979,Accepted,TRUE
length-of-the-longest-subsequence-that-sums-to-target,Medium,941,941,93.6212,SUCCESS,69.138,Accepted,TRUE
difference-between-maximum-and-minimum-price-sum,Hard,58,58,93.6508,SUCCESS,71.4286,Accepted,TRUE
number-of-ways-to-paint-n-3-grid,Hard,50,50,93.6976,SUCCESS,83.6135,Accepted,TRUE
restore-the-array,Hard,86,86,94.012,SUCCESS,76.6468,Accepted,TRUE
maximum-number-of-jumps-to-reach-the-last-index,Medium,2639,2639,94.1436,SUCCESS,52.2521,Accepted,TRUE
count-subarrays-with-fixed-bounds,Hard,53,53,94.3271,SUCCESS,85.4843,Accepted,TRUE
divide-array-into-arrays-with-max-difference,Medium,1117,1117,94.9581,SUCCESS,8.1233,Accepted,TRUE
largest-local-values-in-a-matrix,Easy,50,50,95.3529,SUCCESS,37.9804,Accepted,TRUE
widest-vertical-area-between-two-points-containing-no-points,Easy,55,55,95.4405,SUCCESS,22.3403,Accepted,TRUE
minimum-absolute-difference-between-elements-with-constraint,Medium,2013,2013,95.7789,SUCCESS,91.2337,Accepted,TRUE
count-of-integers,Hard,615,615,95.7847,SUCCESS,41.6329,Accepted,TRUE
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,Medium,55,55,95.8334,SUCCESS,82.5001,Accepted,TRUE
find-if-path-exists-in-graph,Easy,34,34,95.8936,SUCCESS,95.7127,Accepted,TRUE
kth-largest-sum-in-a-binary-tree,Medium,51,51,95.9098,SUCCESS,43.8107,Accepted,TRUE
find-the-sum-of-encrypted-integers,Easy,865,865,96.016,SUCCESS,73.7052,Accepted,TRUE
properties-graph,Medium,668,668,96.1002,SUCCESS,58.7236,Accepted,TRUE
count-number-of-special-subsequences,Hard,99,99,96.25,SUCCESS,37.5,Accepted,TRUE
ant-on-the-boundary,Easy,641,641,96.3817,SUCCESS,74.671,Accepted,TRUE
maximum-points-tourist-can-earn,Medium,545,545,96.3856,SUCCESS,82.5301,Accepted,TRUE
find-the-maximum-sum-of-node-values,Hard,718,718,96.4286,SUCCESS,41.0713,Accepted,TRUE
row-with-maximum-ones,Easy,1049,1049,96.4643,SUCCESS,89.7003,Accepted,TRUE
find-the-longest-valid-obstacle-course-at-each-position,Hard,78,78,96.5908,SUCCESS,26.5149,Accepted,TRUE
count-integers-in-intervals,Hard,73,73,96.7429,SUCCESS,71.6613,Accepted,TRUE
maximum-number-of-visible-points,Hard,119,119,96.8256,SUCCESS,68.8492,Accepted,TRUE
count-the-number-of-houses-at-a-certain-distance-i,Medium,880,880,96.9464,SUCCESS,35.8778,Accepted,TRUE
minimum-operations-to-make-array-equal-ii,Medium,68,68,97.7779,SUCCESS,16.2964,Accepted,TRUE
minimum-number-of-groups-to-create-a-valid-assignment,Medium,631,631,97.8948,SUCCESS,80,Accepted,TRUE
maximize-value-of-function-in-a-ball-passing-game,Hard,948,948,98.0392,SUCCESS,66.6664,Accepted,TRUE
earliest-possible-day-of-full-bloom,Hard,185,185,98.1595,SUCCESS,70.5521,Accepted,TRUE
lexicographically-smallest-palindrome,Easy,4519,4519,98.3556,SUCCESS,30.3438,Accepted,TRUE
rearrange-k-substrings-to-form-target-string,Medium,771,771,98.3776,SUCCESS,8.5938,Accepted,TRUE
reschedule-meetings-for-maximum-free-time-i,Medium,689,689,98.4376,SUCCESS,47.1355,Accepted,TRUE
number-of-valid-words-in-a-sentence,Easy,244,244,98.5685,SUCCESS,59.7137,Accepted,TRUE
maximum-product-difference-between-two-pairs,Easy,96,96,98.6258,SUCCESS,40.0634,Accepted,TRUE
replace-non-coprime-numbers-in-array,Hard,71,71,98.7805,SUCCESS,50,Accepted,TRUE
decremental-string-concatenation,Medium,1332,1332,98.913,SUCCESS,91.3043,Accepted,TRUE
parallel-courses-iii,Hard,42,42,98.976,SUCCESS,97.6109,Accepted,TRUE
make-costs-of-paths-equal-in-a-binary-tree,Medium,1565,1565,99.055,SUCCESS,91.6826,Accepted,TRUE
painting-the-walls,Hard,2558,2558,99.0598,SUCCESS,88.8715,Accepted,TRUE
beautiful-towers-ii,Medium,785,785,99.0991,SUCCESS,72.0721,Accepted,TRUE
form-largest-integer-with-digits-that-add-up-to-target,Hard,96,96,99.3007,SUCCESS,97.9021,Accepted,TRUE
words-within-two-edits-of-dictionary,Medium,33,33,99.3939,SUCCESS,24.8485,Accepted,TRUE
minimum-sum-of-mountain-triplets-ii,Medium,788,788,99.4175,SUCCESS,72.6213,Accepted,TRUE
minimum-cost-to-make-array-equal,Hard,48,48,99.505,SUCCESS,49.0102,Accepted,TRUE
total-appeal-of-a-string,Hard,77,77,99.7396,SUCCESS,67.1875,Accepted,TRUE
smallest-index-with-equal-value,Easy,663,663,100,SUCCESS,6.0326,Accepted,TRUE
capitalize-the-title,Easy,200,200,100,SUCCESS,7.6367,Accepted,TRUE
largest-positive-integer-that-exists-with-its-negative,Easy,339,339,100,SUCCESS,7.6922,Accepted,TRUE
minimum-number-of-chairs-in-a-waiting-room,Easy,852,852,100,SUCCESS,8.3832,Accepted,TRUE
rings-and-rods,Easy,66,66,100,SUCCESS,8.5715,Accepted,TRUE
minimum-sum-of-four-digit-number-after-splitting-digits,Easy,99,99,100,SUCCESS,8.7303,Accepted,TRUE
button-with-longest-push-time,Easy,588,588,100,SUCCESS,9.3751,Accepted,TRUE
truncate-sentence,Easy,72,72,100,SUCCESS,10.8621,Accepted,TRUE
maximum-value-of-a-string-in-an-array,Easy,64,64,100,SUCCESS,10.973,Accepted,TRUE
remove-digit-from-number-to-maximize-result,Easy,112,112,100,SUCCESS,10.9993,Accepted,TRUE
longer-contiguous-segments-of-ones-than-zeros,Easy,141,141,100,SUCCESS,11.2149,Accepted,TRUE
special-array-i,Easy,852,852,100,SUCCESS,12.1673,Accepted,TRUE
construct-the-longest-new-string,Medium,2003,2003,100,SUCCESS,14.4695,Accepted,TRUE
transform-array-by-parity,Easy,804,804,100,SUCCESS,14.6158,Accepted,TRUE
best-poker-hand,Easy,98,98,100,SUCCESS,16.3135,Accepted,TRUE
remove-one-element-to-make-the-array-strictly-increasing,Easy,109,109,100,SUCCESS,16.4103,Accepted,TRUE
minimum-cuts-to-divide-a-circle,Easy,100,100,100,SUCCESS,16.4834,Accepted,TRUE
shortest-distance-to-target-string-in-a-circular-array,Easy,164,164,100,SUCCESS,17.0648,Accepted,TRUE
determine-color-of-a-chessboard-square,Easy,64,64,100,SUCCESS,17.0886,Accepted,TRUE
harshad-number,Easy,100,100,100,SUCCESS,17.1652,Accepted,TRUE
smallest-value-after-replacing-with-sum-of-prime-factors,Medium,209,209,100,SUCCESS,17.7421,Accepted,TRUE
number-of-bit-changes-to-make-two-integers-equal,Easy,682,682,100,SUCCESS,17.9775,Accepted,TRUE
determine-if-two-events-have-conflict,Easy,129,129,100,SUCCESS,17.9797,Accepted,TRUE
check-if-two-string-arrays-are-equivalent,Easy,113,113,100,SUCCESS,18.052,Accepted,TRUE
maximum-difference-between-increasing-elements,Easy,54,54,100,SUCCESS,18.3512,Accepted,TRUE
determine-whether-matrix-can-be-obtained-by-rotation,Easy,113,113,100,SUCCESS,20.204,Accepted,TRUE
number-of-distinct-averages,Easy,36,36,100,SUCCESS,20.2389,Accepted,TRUE
minimum-time-to-revert-word-to-initial-state-i,Medium,769,769,100,SUCCESS,20.8792,Accepted,TRUE
maximum-number-of-pairs-in-array,Easy,128,128,100,SUCCESS,21.0412,Accepted,TRUE
sum-of-digits-in-base-k,Easy,65,65,100,SUCCESS,21.5686,Accepted,TRUE
minimum-distance-to-the-target-element,Easy,72,72,100,SUCCESS,21.6495,Accepted,TRUE
find-the-integer-added-to-array-i,Easy,605,605,100,SUCCESS,22.0137,Accepted,TRUE
the-employee-that-worked-on-the-longest-task,Easy,514,514,100,SUCCESS,22.2657,Accepted,TRUE
maximum-count-of-positive-integer-and-negative-integer,Easy,169,169,100,SUCCESS,22.6249,Accepted,TRUE
find-minimum-operations-to-make-all-elements-divisible-by-three,Easy,660,660,100,SUCCESS,23.4374,Accepted,TRUE
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Medium,658,658,100,SUCCESS,24.5161,Accepted,TRUE
number-of-even-and-odd-bits,Easy,1003,1003,100,SUCCESS,24.6478,Accepted,TRUE
count-partitions-with-even-sum-difference,Easy,616,616,100,SUCCESS,24.6766,Accepted,TRUE
add-two-integers,Easy,262,262,100,SUCCESS,25.2147,Accepted,TRUE
first-letter-to-appear-twice,Easy,92,92,100,SUCCESS,25.3187,Accepted,TRUE
find-the-child-who-has-the-ball-after-k-seconds,Easy,803,803,100,SUCCESS,25.9933,Accepted,TRUE
root-equals-sum-of-children,Easy,309,309,100,SUCCESS,26.0426,Accepted,TRUE
final-array-state-after-k-multiplication-operations-i,Easy,737,737,100,SUCCESS,26.7474,Accepted,TRUE
evaluate-boolean-binary-tree,Easy,75,75,100,SUCCESS,27.0738,Accepted,TRUE
maximum-difference-between-even-and-odd-frequency-i,Easy,805,805,100,SUCCESS,27.641,Accepted,TRUE
check-if-it-is-possible-to-split-array,Medium,531,531,100,SUCCESS,28.3186,Accepted,TRUE
maximum-nesting-depth-of-the-parentheses,Easy,168,168,100,SUCCESS,29.6296,Accepted,TRUE
check-if-bitwise-or-has-trailing-zeros,Easy,916,916,100,SUCCESS,30.5971,Accepted,TRUE
lexicographically-smallest-string-after-a-swap,Easy,895,895,100,SUCCESS,31.0809,Accepted,TRUE
minimum-bit-flips-to-convert-number,Easy,250,250,100,SUCCESS,31.177,Accepted,TRUE
count-prefixes-of-a-given-string,Easy,123,123,100,SUCCESS,31.2676,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-i,Easy,1003,1003,100,SUCCESS,31.5,Accepted,TRUE
find-the-highest-altitude,Easy,80,80,100,SUCCESS,32.4061,Accepted,TRUE
alternating-digit-sum,Easy,118,118,100,SUCCESS,32.4676,Accepted,TRUE
find-center-of-star-graph,Easy,61,61,100,SUCCESS,33.0659,Accepted,TRUE
reverse-prefix-of-word,Easy,112,112,100,SUCCESS,34.0886,Accepted,TRUE
prime-in-diagonal,Easy,82,82,100,SUCCESS,34.1068,Accepted,TRUE
pass-the-pillow,Easy,68,68,100,SUCCESS,35.3366,Accepted,TRUE
existence-of-a-substring-in-a-string-and-its-reverse,Easy,719,719,100,SUCCESS,35.5181,Accepted,TRUE
reformat-phone-number,Easy,108,108,100,SUCCESS,35.9091,Accepted,TRUE
get-maximum-in-generated-array,Easy,101,101,100,SUCCESS,36.1404,Accepted,TRUE
two-out-of-three,Easy,288,288,100,SUCCESS,36.4593,Accepted,TRUE
minimum-addition-to-make-integer-beautiful,Medium,92,92,100,SUCCESS,36.6667,Accepted,TRUE
convert-the-temperature,Easy,74,74,100,SUCCESS,36.8979,Accepted,TRUE
count-elements-with-strictly-smaller-and-greater-elements,Easy,127,127,100,SUCCESS,37.7432,Accepted,TRUE
maximum-containers-on-a-ship,Easy,686,686,100,SUCCESS,37.7554,Accepted,TRUE
largest-substring-between-two-equal-characters,Easy,58,58,100,SUCCESS,38.343,Accepted,TRUE
buy-two-chocolates,Easy,2003,2003,100,SUCCESS,38.5127,Accepted,TRUE
percentage-of-letter-in-string,Easy,86,86,100,SUCCESS,39.8734,Accepted,TRUE
sign-of-the-product-of-an-array,Easy,76,76,100,SUCCESS,40.9418,Accepted,TRUE
check-if-point-is-reachable,Hard,60,60,100,SUCCESS,41.0715,Accepted,TRUE
peaks-in-array,Hard,681,681,100,SUCCESS,41.9751,Accepted,TRUE
convert-an-array-into-a-2d-array-with-conditions,Medium,1035,1035,100,SUCCESS,42.7407,Accepted,TRUE
apply-bitwise-operations-to-make-strings-equal,Medium,71,71,100,SUCCESS,43.617,Accepted,TRUE
minimize-the-maximum-of-two-arrays,Medium,63,63,100,SUCCESS,44.086,Accepted,TRUE
minimum-number-of-operations-to-convert-time,Easy,256,256,100,SUCCESS,44.9045,Accepted,TRUE
find-subarrays-with-equal-sum,Easy,42,42,100,SUCCESS,45.1269,Accepted,TRUE
check-if-array-is-good,Easy,805,805,100,SUCCESS,45.977,Accepted,TRUE
count-the-number-of-special-characters-i,Easy,866,866,100,SUCCESS,45.9958,Accepted,TRUE
slowest-key,Easy,109,109,100,SUCCESS,46.9288,Accepted,TRUE
apply-operations-to-an-array,Easy,36,36,100,SUCCESS,48.0667,Accepted,TRUE
count-distinct-numbers-on-board,Easy,100,100,100,SUCCESS,48.7655,Accepted,TRUE
circular-sentence,Easy,266,266,100,SUCCESS,53.117,Accepted,TRUE
convert-date-to-binary,Easy,503,503,100,SUCCESS,53.1982,Accepted,TRUE
make-array-zero-by-subtracting-equal-amounts,Easy,95,95,100,SUCCESS,53.4365,Accepted,TRUE
account-balance-after-rounded-purchase,Easy,101,101,100,SUCCESS,53.7849,Accepted,TRUE
count-the-number-of-vowel-strings-in-range,Easy,1053,1053,100,SUCCESS,54.9853,Accepted,TRUE
left-and-right-sum-differences,Easy,53,53,100,SUCCESS,56.028,Accepted,TRUE
find-the-xor-of-numbers-which-appear-twice,Easy,833,833,100,SUCCESS,56.4139,Accepted,TRUE
check-distances-between-same-letters,Easy,335,335,100,SUCCESS,56.743,Accepted,TRUE
minimum-time-to-make-array-sum-at-most-x,Hard,1274,1274,100,SUCCESS,57.1428,Accepted,TRUE
split-with-minimum-sum,Easy,140,140,100,SUCCESS,58.1132,Accepted,TRUE
number-of-valid-clock-times,Easy,53,53,100,SUCCESS,58.1633,Accepted,TRUE
sort-even-and-odd-indices-independently,Easy,218,218,100,SUCCESS,58.1851,Accepted,TRUE
calculate-digit-sum-of-a-string,Easy,121,121,100,SUCCESS,58.1967,Accepted,TRUE
check-if-one-string-swap-can-make-strings-equal,Easy,137,137,100,SUCCESS,58.3578,Accepted,TRUE
find-the-array-concatenation-value,Easy,53,53,100,SUCCESS,58.5875,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-i,Easy,724,724,100,SUCCESS,58.6458,Accepted,TRUE
find-target-indices-after-sorting-array,Easy,216,216,100,SUCCESS,58.8985,Accepted,TRUE
sum-of-digits-of-string-after-convert,Easy,216,216,100,SUCCESS,59.2151,Accepted,TRUE
number-of-different-integers-in-a-string,Easy,85,85,100,SUCCESS,59.5317,Accepted,TRUE
check-if-a-string-is-an-acronym-of-words,Easy,1519,1519,100,SUCCESS,60.0765,Accepted,TRUE
alice-and-bob-playing-flower-game,Medium,537,537,100,SUCCESS,60.1852,Accepted,TRUE
count-the-digits-that-divide-a-number,Easy,56,56,100,SUCCESS,60.4501,Accepted,TRUE
calculate-delayed-arrival-time,Easy,556,556,100,SUCCESS,60.5405,Accepted,TRUE
categorize-box-according-to-criteria,Easy,50,50,100,SUCCESS,60.625,Accepted,TRUE
check-if-number-has-equal-digit-count-and-digit-value,Easy,433,433,100,SUCCESS,60.8917,Accepted,TRUE
minimum-recolors-to-get-k-consecutive-black-blocks,Easy,122,122,100,SUCCESS,61.4297,Accepted,TRUE
check-if-word-equals-summation-of-two-words,Easy,100,100,100,SUCCESS,61.5384,Accepted,TRUE
count-hills-and-valleys-in-an-array,Easy,121,121,100,SUCCESS,61.9451,Accepted,TRUE
merge-two-2d-arrays-by-summing-values,Easy,39,39,100,SUCCESS,62.6052,Accepted,TRUE
minimum-operations-to-make-a-special-number,Medium,814,814,100,SUCCESS,62.8571,Accepted,TRUE
find-the-middle-index-in-array,Easy,294,294,100,SUCCESS,63.0081,Accepted,TRUE
minimum-cost-of-buying-candies-with-discount,Easy,192,192,100,SUCCESS,63.0326,Accepted,TRUE
rearrange-characters-to-make-target-string,Easy,116,116,100,SUCCESS,63.1069,Accepted,TRUE
shortest-subarray-with-or-at-least-k-i,Easy,834,834,100,SUCCESS,63.2,Accepted,TRUE
k-items-with-the-maximum-sum,Easy,1310,1310,100,SUCCESS,64.0212,Accepted,TRUE
maximum-enemy-forts-that-can-be-captured,Easy,45,45,100,SUCCESS,65.5271,Accepted,TRUE
check-if-string-is-a-prefix-of-array,Easy,349,349,100,SUCCESS,65.6566,Accepted,TRUE
distribute-money-to-maximum-children,Easy,3802,3802,100,SUCCESS,65.8611,Accepted,TRUE
split-the-array,Easy,715,715,100,SUCCESS,66.0735,Accepted,TRUE
number-of-common-factors,Easy,76,76,100,SUCCESS,66.2427,Accepted,TRUE
cells-in-a-range-on-an-excel-sheet,Easy,251,251,100,SUCCESS,66.5803,Accepted,TRUE
minimum-difference-between-highest-and-lowest-of-k-scores,Easy,118,118,100,SUCCESS,67.1748,Accepted,TRUE
maximum-population-year,Easy,53,53,100,SUCCESS,68.6262,Accepted,TRUE
minimum-average-of-smallest-and-largest-elements,Easy,720,720,100,SUCCESS,69.4051,Accepted,TRUE
sum-of-squares-of-special-elements,Easy,1437,1437,100,SUCCESS,72.6851,Accepted,TRUE
maximum-area-of-longest-diagonal-rectangle,Easy,816,816,100,SUCCESS,72.7463,Accepted,TRUE
count-total-number-of-colored-cells,Medium,94,94,100,SUCCESS,73.4218,Accepted,TRUE
find-greatest-common-divisor-of-array,Easy,215,215,100,SUCCESS,73.4614,Accepted,TRUE
find-the-largest-almost-missing-integer,Easy,900,900,100,SUCCESS,74.3207,Accepted,TRUE
minimum-number-of-moves-to-seat-everyone,Easy,262,262,100,SUCCESS,75.2883,Accepted,TRUE
find-subsequence-of-length-k-with-the-largest-sum,Easy,49,49,100,SUCCESS,76.1723,Accepted,TRUE
check-if-all-as-appears-before-all-bs,Easy,216,216,100,SUCCESS,76.7204,Accepted,TRUE
score-of-a-string,Easy,705,705,100,SUCCESS,77.8817,Accepted,TRUE
count-special-integers,Hard,120,120,100,SUCCESS,78.2946,Accepted,TRUE
minimum-hours-of-training-to-win-a-competition,Easy,111,111,100,SUCCESS,78.392,Accepted,TRUE
sum-of-good-numbers,Easy,803,803,100,SUCCESS,78.5162,Accepted,TRUE
check-if-numbers-are-ascending-in-a-sentence,Easy,98,98,100,SUCCESS,78.7621,Accepted,TRUE
maximum-ascending-subarray-sum,Easy,104,104,100,SUCCESS,80.5538,Accepted,TRUE
maximum-difference-by-remapping-a-digit,Easy,214,214,100,SUCCESS,80.8383,Accepted,TRUE
smallest-missing-integer-greater-than-sequential-prefix-sum,Easy,616,616,100,SUCCESS,81.6849,Accepted,TRUE
latest-time-by-replacing-hidden-digits,Easy,159,159,100,SUCCESS,82.1782,Accepted,TRUE
find-maximum-number-of-string-pairs,Easy,659,659,100,SUCCESS,82.6573,Accepted,TRUE
maximum-repeating-substring,Easy,212,212,100,SUCCESS,82.6954,Accepted,TRUE
valid-word,Easy,677,677,100,SUCCESS,83.158,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-i,Easy,559,559,100,SUCCESS,83.7321,Accepted,TRUE
maximum-sum-with-exactly-k-elements,Easy,3004,3004,100,SUCCESS,84.2835,Accepted,TRUE
strong-password-checker-ii,Easy,148,148,100,SUCCESS,84.4381,Accepted,TRUE
minimum-time-to-type-word-using-special-typewriter,Easy,135,135,100,SUCCESS,84.6706,Accepted,TRUE
replace-all-digits-with-characters,Easy,99,99,100,SUCCESS,84.7418,Accepted,TRUE
richest-customer-wealth,Easy,34,34,100,SUCCESS,85.1639,Accepted,TRUE
sum-of-unique-elements,Easy,73,73,100,SUCCESS,85.3815,Accepted,TRUE
keep-multiplying-found-values-by-two,Easy,81,81,100,SUCCESS,85.6979,Accepted,TRUE
last-visited-integers,Easy,706,706,100,SUCCESS,85.7143,Accepted,TRUE
remove-adjacent-almost-equal-characters,Medium,779,779,100,SUCCESS,86.1245,Accepted,TRUE
number-of-arithmetic-triplets,Easy,104,104,100,SUCCESS,86.1361,Accepted,TRUE
find-indices-of-stable-mountains,Easy,805,805,100,SUCCESS,86.3819,Accepted,TRUE
count-elements-with-maximum-frequency,Easy,623,623,100,SUCCESS,86.3866,Accepted,TRUE
minimum-number-of-pushes-to-type-word-i,Easy,500,500,100,SUCCESS,86.8217,Accepted,TRUE
check-if-array-is-sorted-and-rotated,Easy,112,112,100,SUCCESS,87.6647,Accepted,TRUE
make-a-square-with-the-same-color,Easy,515,515,100,SUCCESS,87.6923,Accepted,TRUE
divide-a-string-into-groups-of-size-k,Easy,157,157,100,SUCCESS,87.7315,Accepted,TRUE
calculate-money-in-leetcode-bank,Easy,106,106,100,SUCCESS,87.7462,Accepted,TRUE
minimum-operations-to-collect-elements,Easy,619,619,100,SUCCESS,88.1029,Accepted,TRUE
count-asterisks,Easy,69,69,100,SUCCESS,88.2568,Accepted,TRUE
three-divisors,Easy,228,228,100,SUCCESS,89.1002,Accepted,TRUE
most-frequent-number-following-key-in-an-array,Easy,101,101,100,SUCCESS,91.2913,Accepted,TRUE
check-whether-two-strings-are-almost-equivalent,Easy,196,196,100,SUCCESS,91.6821,Accepted,TRUE
number-of-strings-that-appear-as-substrings-in-word,Easy,82,82,100,SUCCESS,93.3067,Accepted,TRUE
minimum-one-bit-operations-to-make-integers-zero,Hard,308,308,100,SUCCESS,95.0495,Accepted,TRUE
a-number-after-a-double-reversal,Easy,129,129,100,SUCCESS,96.4405,Accepted,TRUE
check-if-binary-string-has-at-most-one-segment-of-ones,Easy,191,191,100,SUCCESS,96.5034,Accepted,TRUE
maximum-number-of-words-found-in-sentences,Easy,90,90,100,SUCCESS,96.8029,Accepted,TRUE
maximize-the-profit-as-the-salesman,Medium,435,435,100,SUCCESS,96.8154,Accepted,TRUE
number-of-employees-who-met-the-target,Easy,707,707,100,SUCCESS,97.2938,Accepted,TRUE
build-array-from-permutation,Easy,140,140,100,SUCCESS,97.381,Accepted,TRUE
find-the-maximum-achievable-number,Easy,2502,2502,100,SUCCESS,97.4303,Accepted,TRUE
smallest-even-multiple,Easy,150,150,100,SUCCESS,97.7371,Accepted,TRUE
check-if-all-the-integers-in-a-range-are-covered,Easy,106,106,100,SUCCESS,98.2067,Accepted,TRUE
count-days-spent-together,Easy,51,51,100,SUCCESS,98.6667,Accepted,TRUE
find-the-peaks,Easy,648,648,100,SUCCESS,98.7768,Accepted,TRUE
minimum-number-game,Easy,804,804,100,SUCCESS,98.7942,Accepted,TRUE
check-array-formation-through-concatenation,Easy,85,85,100,SUCCESS,99.1416,Accepted,TRUE
longest-common-suffix-queries,Hard,817,751,,SUCCESS,,Memory Limit Exceeded,TRUE
double-modular-exponentiation,Medium,524,0,,SUCCESS,,Runtime Error,TRUE
number-of-strings-which-can-be-rearranged-to-contain-substring,Medium,264,0,,SUCCESS,,Runtime Error,TRUE
count-collisions-of-monkeys-on-a-polygon,Medium,83,0,,SUCCESS,,Runtime Error,TRUE
maximum-area-rectangle-with-point-constraints-ii,Hard,593,1,,SUCCESS,,Runtime Error,TRUE
smallest-divisible-digit-product-ii,Hard,954,2,,SUCCESS,,Runtime Error,TRUE
greatest-common-divisor-traversal,Hard,929,0,,SUCCESS,,Runtime Error,TRUE
power-of-heroes,Hard,2584,0,,SUCCESS,,Runtime Error,TRUE
maximum-segment-sum-after-removals,Hard,42,0,,SUCCESS,,Runtime Error,TRUE
abbreviating-the-product-of-a-range,Hard,292,3,,SUCCESS,,Runtime Error,TRUE
sum-of-k-mirror-numbers,Hard,97,0,,SUCCESS,,Runtime Error,TRUE
minimum-number-of-days-to-eat-n-oranges,Hard,176,0,,SUCCESS,,Runtime Error,TRUE
separate-squares-i,Medium,915,564,,SUCCESS,,Time Limit Exceeded,TRUE
count-special-subsequences,Medium,557,543,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-splits-in-an-array,Medium,583,575,,SUCCESS,,Time Limit Exceeded,TRUE
find-mirror-score-of-a-string,Medium,581,572,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-i,Medium,817,810,,SUCCESS,,Time Limit Exceeded,TRUE
construct-the-minimum-bitwise-array-ii,Medium,776,607,,SUCCESS,,Time Limit Exceeded,TRUE
find-subtree-sizes-after-changes,Medium,632,631,,SUCCESS,,Time Limit Exceeded,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-ii,Medium,768,728,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-number-of-valid-strings-to-form-target-i,Medium,929,906,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-power-of-k-size-subarrays-ii,Medium,653,641,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-with-k-frequency-characters-i,Medium,571,564,,SUCCESS,,Time Limit Exceeded,TRUE
k-th-nearest-obstacle-queries,Medium,591,590,,SUCCESS,,Time Limit Exceeded,TRUE
alternating-groups-ii,Medium,625,531,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-substrings-with-dominant-ones,Medium,881,856,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-number-of-good-pairs-ii,Medium,687,683,,SUCCESS,,Time Limit Exceeded,TRUE
find-all-possible-stable-binary-arrays-i,Medium,670,666,,SUCCESS,,Time Limit Exceeded,TRUE
shortest-subarray-with-or-at-least-k-ii,Medium,718,714,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-grid-of-region-average,Medium,810,792,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-good-subarray-sum,Medium,782,780,,SUCCESS,,Time Limit Exceeded,TRUE
count-zero-request-servers,Medium,3129,2123,,SUCCESS,,Time Limit Exceeded,TRUE
increment-submatrices-by-one,Medium,31,17,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-numbers,Hard,554,532,,SUCCESS,,Time Limit Exceeded,TRUE
longest-common-prefix-of-k-strings-after-removal,Hard,667,633,,SUCCESS,,Time Limit Exceeded,TRUE
permutations-iv,Hard,999,223,,SUCCESS,,Time Limit Exceeded,TRUE
check-if-digits-are-equal-in-string-after-operations-ii,Hard,684,622,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subarrays,Hard,684,622,,SUCCESS,,Time Limit Exceeded,TRUE
subsequences-with-a-unique-middle-mode-i,Hard,947,751,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-divisible-by-last-digit,Hard,699,680,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,Hard,660,649,,SUCCESS,,Time Limit Exceeded,TRUE
count-number-of-balanced-permutations,Hard,792,465,,SUCCESS,,Time Limit Exceeded,TRUE
count-k-reducible-numbers-less-than-n,Hard,774,329,,SUCCESS,,Time Limit Exceeded,TRUE
find-x-sum-of-all-k-long-subarrays-ii,Hard,784,776,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-occurrence-of-first-almost-equal-substring,Hard,778,770,,SUCCESS,,Time Limit Exceeded,TRUE
